,Epoch,Learning Rate,sub_epoch,Training Loss,Valid. Loss,Training Time,Validation Time
0,1,0.1,1,6.861125242861012,4.052579681078593,0:00:37,0:00:01
1,1,0.01,1,3.5981049492389343,3.1766381396187677,0:00:38,0:00:01
2,1,0.001,1,3.2529753250411795,3.011552029185825,0:00:39,0:00:01
3,1,0.0005,1,3.154221059400824,2.950158370865716,0:00:38,0:00:01
4,2,0.1,1,4.1255154156986675,4.69713552792867,0:00:38,0:00:01
5,2,0.1,2,6.227862418452395,4.25278721915351,0:00:38,0:00:01
6,2,0.01,1,4.195795605454264,3.487023711204529,0:00:38,0:00:01
7,2,0.01,2,3.932605136798907,3.3583454688390098,0:00:38,0:00:01
8,2,0.001,1,3.7065217947658105,3.3311521344714694,0:00:38,0:00:01
9,2,0.001,2,3.656476820571513,3.2755699157714844,0:00:38,0:00:01
10,2,0.0005,1,3.606606133376496,3.2617172532611423,0:00:38,0:00:01
11,2,0.0005,2,3.5827940928785105,3.234664705064562,0:00:38,0:00:01
12,5,0.1,1,3.952621180799943,4.250309228897095,0:00:38,0:00:01
13,5,0.1,2,24.091172345076934,32.102013481987846,0:00:37,0:00:01
14,5,0.1,3,19.408581510374816,5.7075254917144775,0:00:38,0:00:01
15,5,0.1,4,4.961183572117286,4.697137514750163,0:00:38,0:00:01
16,5,0.1,5,5.105168303356895,4.042416916953193,0:00:38,0:00:01
17,5,0.01,1,4.824360089966014,4.370342996385363,0:00:38,0:00:01
18,5,0.01,2,4.658659068843987,4.26656789249844,0:00:38,0:00:01
19,5,0.01,3,4.564911501317084,4.199329508675469,0:00:38,0:00:01
20,5,0.01,4,4.425906727585612,4.020678361256917,0:00:38,0:00:01
21,5,0.01,5,4.306444406509399,3.929253339767456,0:00:38,0:00:01
22,5,0.001,1,4.2653451690190956,3.9499591721428766,0:00:38,0:00:01
23,5,0.001,2,4.274056226392336,3.899934344821506,0:00:38,0:00:01
24,5,0.001,3,4.260504713541345,3.894911872016059,0:00:38,0:00:01
25,5,0.001,4,4.236182173596153,3.892566760381063,0:00:38,0:00:01
26,5,0.001,5,4.222723988038075,3.891614066229926,0:00:38,0:00:01
27,5,0.0005,1,4.2227304766449745,3.890669690238105,0:00:38,0:00:01
28,5,0.0005,2,4.227644078339202,3.884104516771105,0:00:38,0:00:01
29,5,0.0005,3,4.223402276823792,3.877404424879286,0:00:38,0:00:01
30,5,0.0005,4,4.206632683548746,3.890085299809774,0:00:38,0:00:01
31,5,0.0005,5,4.202232858802699,3.8845275508032904,0:00:38,0:00:01
